"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 15 22:29:23 GMT 2023","Sat Apr 15 22:29:24 GMT 2023","875","Tests.Automata teszt","test_conduit","TestConduit","","","test_logout",""
"passed","Sat Apr 15 22:31:08 GMT 2023","Sat Apr 15 22:31:19 GMT 2023","11035","Tests.Automata teszt","test_conduit","TestConduit","","","test_delete_data",""
"broken","Sat Apr 15 22:30:11 GMT 2023","Sat Apr 15 22:30:25 GMT 2023","13642","Tests.Automata teszt","test_conduit","TestConduit","","","test_multi_page_listing",""
"passed","Sat Apr 15 22:29:11 GMT 2023","Sat Apr 15 22:29:12 GMT 2023","793","Tests.Automata teszt","test_conduit","TestConduit","","","test_signin",""
"passed","Sat Apr 15 22:29:47 GMT 2023","Sat Apr 15 22:30:00 GMT 2023","12757","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_listing",""
"broken","Sat Apr 15 22:31:53 GMT 2023","Sat Apr 15 22:31:59 GMT 2023","5359","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_download",""
"passed","Sat Apr 15 22:30:50 GMT 2023","Sat Apr 15 22:30:56 GMT 2023","6128","Tests.Automata teszt","test_conduit","TestConduit","","","test_modify_data",""
"broken","Sat Apr 15 22:31:30 GMT 2023","Sat Apr 15 22:31:42 GMT 2023","12176","Tests.Automata teszt","test_conduit","TestConduit","","","test_more_articles_uploads",""
"passed","Sat Apr 15 22:29:35 GMT 2023","Sat Apr 15 22:29:36 GMT 2023","661","Tests.Automata teszt","test_conduit","TestConduit","","","test_cookie_handling",""
"passed","Sat Apr 15 22:28:57 GMT 2023","Sat Apr 15 22:29:00 GMT 2023","3222","Tests.Automata teszt","test_conduit","TestConduit","","","test_signup",""
"passed","Sat Apr 15 22:30:36 GMT 2023","Sat Apr 15 22:30:39 GMT 2023","2864","Tests.Automata teszt","test_conduit","TestConduit","","","test_new_data_upload",""
