"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Apr 15 22:44:11 GMT 2023","Sat Apr 15 22:44:16 GMT 2023","5529","Tests.Automata teszt","test_conduit","TestConduit","","","test_logout",""
"broken","Sat Apr 15 22:46:02 GMT 2023","Sat Apr 15 22:46:07 GMT 2023","5517","Tests.Automata teszt","test_conduit","TestConduit","","","test_more_articles_uploads",""
"broken","Sat Apr 15 22:45:29 GMT 2023","Sat Apr 15 22:45:34 GMT 2023","5525","Tests.Automata teszt","test_conduit","TestConduit","","","test_modify_data",""
"passed","Sat Apr 15 22:44:27 GMT 2023","Sat Apr 15 22:44:27 GMT 2023","153","Tests.Automata teszt","test_conduit","TestConduit","","","test_cookie_handling",""
"broken","Sat Apr 15 22:43:54 GMT 2023","Sat Apr 15 22:43:59 GMT 2023","5525","Tests.Automata teszt","test_conduit","TestConduit","","","test_signin",""
"broken","Sat Apr 15 22:44:39 GMT 2023","Sat Apr 15 22:44:44 GMT 2023","5524","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_listing",""
"broken","Sat Apr 15 22:45:12 GMT 2023","Sat Apr 15 22:45:17 GMT 2023","5531","Tests.Automata teszt","test_conduit","TestConduit","","","test_new_data_upload",""
"broken","Sat Apr 15 22:46:19 GMT 2023","Sat Apr 15 22:46:24 GMT 2023","5467","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_download",""
"broken","Sat Apr 15 22:45:45 GMT 2023","Sat Apr 15 22:45:51 GMT 2023","5508","Tests.Automata teszt","test_conduit","TestConduit","","","test_delete_data",""
"passed","Sat Apr 15 22:43:40 GMT 2023","Sat Apr 15 22:43:43 GMT 2023","2604","Tests.Automata teszt","test_conduit","TestConduit","","","test_signup",""
"broken","Sat Apr 15 22:44:55 GMT 2023","Sat Apr 15 22:45:01 GMT 2023","5528","Tests.Automata teszt","test_conduit","TestConduit","","","test_multi_page_listing",""
