"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 16 23:16:28 GMT 2023","Sun Apr 16 23:16:28 GMT 2023","662","Tests.Automata teszt","test_conduit","TestConduit","","","Adatkezelési nyilatkozat használata",""
"passed","Sun Apr 16 23:16:15 GMT 2023","Sun Apr 16 23:16:18 GMT 2023","2451","Tests.Automata teszt","test_conduit","TestConduit","","","Bejelentkezés",""
"passed","Sun Apr 16 23:16:22 GMT 2023","Sun Apr 16 23:16:24 GMT 2023","2460","Tests.Automata teszt","test_conduit","TestConduit","","","Kijelentkezés",""
"passed","Sun Apr 16 23:16:31 GMT 2023","Sun Apr 16 23:16:49 GMT 2023","17589","Tests.Automata teszt","test_conduit","TestConduit","","","Adatok listázása / Lista oldal cikkeinek kilistázása",""
"passed","Sun Apr 16 23:18:04 GMT 2023","Sun Apr 16 23:18:22 GMT 2023","17538","Tests.Automata teszt","test_conduit","TestConduit","","","Adatok lementése felületről/Cikkek címének lementése csv-be",""
"passed","Sun Apr 16 23:16:10 GMT 2023","Sun Apr 16 23:16:12 GMT 2023","2835","Tests.Automata teszt","test_conduit","TestConduit","","","Regisztráció",""
"broken","Sun Apr 16 23:17:59 GMT 2023","Sun Apr 16 23:18:01 GMT 2023","2401","Tests.Automata teszt","test_conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból/Cikkek feltöltése csv-ből",""
"passed","Sun Apr 16 23:17:09 GMT 2023","Sun Apr 16 23:17:37 GMT 2023","27933","Tests.Automata teszt","test_conduit","TestConduit","","","Adat módosítása / Cikk módosítása",""
"failed","Sun Apr 16 23:16:52 GMT 2023","Sun Apr 16 23:16:58 GMT 2023","6481","Tests.Automata teszt","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Sun Apr 16 23:17:02 GMT 2023","Sun Apr 16 23:17:06 GMT 2023","4054","Tests.Automata teszt","test_conduit","TestConduit","","","Új adat bevitel / Új cikk feltöltése",""
"broken","Sun Apr 16 23:17:40 GMT 2023","Sun Apr 16 23:17:56 GMT 2023","15928","Tests.Automata teszt","test_conduit","TestConduit","","","Adat törlése / Cikk törlése",""
