"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 23:07:43 GMT 2023","Fri Apr 14 23:07:49 GMT 2023","6028","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_listing",""
"broken","Fri Apr 14 23:08:12 GMT 2023","Fri Apr 14 23:09:20 GMT 2023","68182","Tests.Automata teszt","test_conduit","TestConduit","","","test_modify_data",""
"passed","Fri Apr 14 23:08:06 GMT 2023","Fri Apr 14 23:08:09 GMT 2023","2934","Tests.Automata teszt","test_conduit","TestConduit","","","test_new_data_upload",""
"passed","Fri Apr 14 23:07:24 GMT 2023","Fri Apr 14 23:07:27 GMT 2023","3112","Tests.Automata teszt","test_conduit","TestConduit","","","test_signup",""
"broken","Fri Apr 14 23:09:23 GMT 2023","Fri Apr 14 23:10:31 GMT 2023","68042","Tests.Automata teszt","test_conduit","TestConduit","","","test_delete_data",""
"passed","Fri Apr 14 23:07:35 GMT 2023","Fri Apr 14 23:07:36 GMT 2023","902","Tests.Automata teszt","test_conduit","TestConduit","","","test_logout",""
"passed","Fri Apr 14 23:07:52 GMT 2023","Fri Apr 14 23:08:03 GMT 2023","10939","Tests.Automata teszt","test_conduit","TestConduit","","","test_multi_page_listing",""
"passed","Fri Apr 14 23:07:31 GMT 2023","Fri Apr 14 23:07:32 GMT 2023","830","Tests.Automata teszt","test_conduit","TestConduit","","","test_signin",""
"passed","Fri Apr 14 23:10:35 GMT 2023","Fri Apr 14 23:11:48 GMT 2023","73977","Tests.Automata teszt","test_conduit","TestConduit","","","test_more_articles_uploads",""
"passed","Fri Apr 14 23:07:39 GMT 2023","Fri Apr 14 23:07:39 GMT 2023","671","Tests.Automata teszt","test_conduit","TestConduit","","","test_cookie_handling",""
