"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 05 20:09:00 GMT 2023","Wed Apr 05 20:09:00 GMT 2023","660","Tests.Automata teszt","test_conduit","TestConduit","","","test_cookie_handling",""
"passed","Wed Apr 05 20:08:08 GMT 2023","Wed Apr 05 20:08:10 GMT 2023","2503","Tests.Automata teszt","test_conduit","TestConduit","","","test_signup",""
"broken","Wed Apr 05 20:08:21 GMT 2023","Wed Apr 05 20:08:27 GMT 2023","5285","Tests.Automata teszt","test_conduit","TestConduit","","","test_signin",""
"broken","Wed Apr 05 20:08:38 GMT 2023","Wed Apr 05 20:08:48 GMT 2023","10460","Tests.Automata teszt","test_conduit","TestConduit","","","test_logout",""
