"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 16 18:39:42 GMT 2023","Sun Apr 16 18:39:53 GMT 2023","10620","Tests.Automata teszt","test_conduit","TestConduit","","","test_delete_data",""
"passed","Sun Apr 16 18:38:46 GMT 2023","Sun Apr 16 18:38:49 GMT 2023","2435","Tests.Automata teszt","test_conduit","TestConduit","","","test_logout",""
"broken","Sun Apr 16 18:39:09 GMT 2023","Sun Apr 16 18:39:30 GMT 2023","20274","Tests.Automata teszt","test_conduit","TestConduit","","","test_multi_page_listing",""
"passed","Sun Apr 16 18:39:31 GMT 2023","Sun Apr 16 18:39:35 GMT 2023","4392","Tests.Automata teszt","test_conduit","TestConduit","","","test_new_data_upload",""
"broken","Sun Apr 16 18:39:54 GMT 2023","Sun Apr 16 18:40:20 GMT 2023","25874","Tests.Automata teszt","test_conduit","TestConduit","","","test_more_articles_uploads",""
"passed","Sun Apr 16 18:38:43 GMT 2023","Sun Apr 16 18:38:45 GMT 2023","2435","Tests.Automata teszt","test_conduit","TestConduit","","","test_signin",""
"broken","Sun Apr 16 18:39:36 GMT 2023","Sun Apr 16 18:39:41 GMT 2023","4683","Tests.Automata teszt","test_conduit","TestConduit","","","test_modify_data",""
"passed","Sun Apr 16 18:38:50 GMT 2023","Sun Apr 16 18:38:50 GMT 2023","654","Tests.Automata teszt","test_conduit","TestConduit","","","test_cookie_handling",""
"passed","Sun Apr 16 18:38:39 GMT 2023","Sun Apr 16 18:38:42 GMT 2023","2715","Tests.Automata teszt","test_conduit","TestConduit","","","test_signup",""
"passed","Sun Apr 16 18:40:21 GMT 2023","Sun Apr 16 18:40:38 GMT 2023","17151","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_download",""
"passed","Sun Apr 16 18:38:51 GMT 2023","Sun Apr 16 18:39:08 GMT 2023","17140","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_listing",""
