"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 16 12:06:35 GMT 2023","Sun Apr 16 12:06:36 GMT 2023","703","Tests.Automata teszt","test_conduit","TestConduit","","","test_cookie_handling",""
"broken","Sun Apr 16 12:06:34 GMT 2023","Sun Apr 16 12:06:34 GMT 2023","357","Tests.Automata teszt","test_conduit","TestConduit","","","test_logout",""
"broken","Sun Apr 16 12:06:50 GMT 2023","Sun Apr 16 12:06:51 GMT 2023","1473","Tests.Automata teszt","test_conduit","TestConduit","","","test_delete_data",""
"passed","Sun Apr 16 12:06:37 GMT 2023","Sun Apr 16 12:06:42 GMT 2023","4548","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_listing",""
"broken","Sun Apr 16 12:06:28 GMT 2023","Sun Apr 16 12:06:31 GMT 2023","3074","Tests.Automata teszt","test_conduit","TestConduit","","","test_signup",""
"broken","Sun Apr 16 12:06:55 GMT 2023","Sun Apr 16 12:06:56 GMT 2023","1347","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_download",""
"broken","Sun Apr 16 12:06:52 GMT 2023","Sun Apr 16 12:06:54 GMT 2023","1479","Tests.Automata teszt","test_conduit","TestConduit","","","test_more_articles_uploads",""
"broken","Sun Apr 16 12:06:48 GMT 2023","Sun Apr 16 12:06:48 GMT 2023","339","Tests.Automata teszt","test_conduit","TestConduit","","","test_modify_data",""
"broken","Sun Apr 16 12:06:43 GMT 2023","Sun Apr 16 12:06:44 GMT 2023","1382","Tests.Automata teszt","test_conduit","TestConduit","","","test_multi_page_listing",""
"broken","Sun Apr 16 12:06:45 GMT 2023","Sun Apr 16 12:06:47 GMT 2023","1479","Tests.Automata teszt","test_conduit","TestConduit","","","test_new_data_upload",""
"broken","Sun Apr 16 12:06:32 GMT 2023","Sun Apr 16 12:06:32 GMT 2023","327","Tests.Automata teszt","test_conduit","TestConduit","","","test_signin",""
