"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 15 22:54:38 GMT 2023","Sat Apr 15 22:54:41 GMT 2023","2934","Tests.Automata teszt","test_conduit","TestConduit","","","test_new_data_upload",""
"passed","Sat Apr 15 22:53:39 GMT 2023","Sat Apr 15 22:53:51 GMT 2023","11975","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_listing",""
"passed","Sat Apr 15 22:55:22 GMT 2023","Sat Apr 15 22:55:33 GMT 2023","11178","Tests.Automata teszt","test_conduit","TestConduit","","","test_delete_data",""
"passed","Sat Apr 15 22:53:27 GMT 2023","Sat Apr 15 22:53:28 GMT 2023","656","Tests.Automata teszt","test_conduit","TestConduit","","","test_cookie_handling",""
"passed","Sat Apr 15 22:53:03 GMT 2023","Sat Apr 15 22:53:04 GMT 2023","796","Tests.Automata teszt","test_conduit","TestConduit","","","test_signin",""
"broken","Sat Apr 15 22:56:03 GMT 2023","Sat Apr 15 22:56:08 GMT 2023","5349","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_download",""
"broken","Sat Apr 15 22:55:44 GMT 2023","Sat Apr 15 22:55:52 GMT 2023","7748","Tests.Automata teszt","test_conduit","TestConduit","","","test_more_articles_uploads",""
"passed","Sat Apr 15 22:52:49 GMT 2023","Sat Apr 15 22:52:52 GMT 2023","2479","Tests.Automata teszt","test_conduit","TestConduit","","","test_signup",""
"passed","Sat Apr 15 22:54:53 GMT 2023","Sat Apr 15 22:55:11 GMT 2023","17248","Tests.Automata teszt","test_conduit","TestConduit","","","test_modify_data",""
"passed","Sat Apr 15 22:54:02 GMT 2023","Sat Apr 15 22:54:27 GMT 2023","25124","Tests.Automata teszt","test_conduit","TestConduit","","","test_multi_page_listing",""
"passed","Sat Apr 15 22:53:15 GMT 2023","Sat Apr 15 22:53:16 GMT 2023","869","Tests.Automata teszt","test_conduit","TestConduit","","","test_logout",""
