"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 16 23:24:46 GMT 2023","Sun Apr 16 23:24:48 GMT 2023","2404","Tests.Automata teszt","test_conduit","TestConduit","","","Bejelentkezés",""
"passed","Sun Apr 16 23:24:40 GMT 2023","Sun Apr 16 23:24:43 GMT 2023","2436","Tests.Automata teszt","test_conduit","TestConduit","","","Regisztráció",""
"passed","Sun Apr 16 23:26:57 GMT 2023","Sun Apr 16 23:27:14 GMT 2023","17570","Tests.Automata teszt","test_conduit","TestConduit","","","Adatok lementése felületről/Cikkek címének lementése csv-be",""
"passed","Sun Apr 16 23:26:11 GMT 2023","Sun Apr 16 23:26:29 GMT 2023","18194","Tests.Automata teszt","test_conduit","TestConduit","","","Adat törlése / Cikk törlése",""
"passed","Sun Apr 16 23:25:22 GMT 2023","Sun Apr 16 23:25:29 GMT 2023","7540","Tests.Automata teszt","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Sun Apr 16 23:24:57 GMT 2023","Sun Apr 16 23:24:58 GMT 2023","663","Tests.Automata teszt","test_conduit","TestConduit","","","Adatkezelési nyilatkozat használata",""
"passed","Sun Apr 16 23:25:32 GMT 2023","Sun Apr 16 23:25:36 GMT 2023","4233","Tests.Automata teszt","test_conduit","TestConduit","","","Új adat bevitel / Új cikk feltöltése",""
"passed","Sun Apr 16 23:25:40 GMT 2023","Sun Apr 16 23:26:08 GMT 2023","28396","Tests.Automata teszt","test_conduit","TestConduit","","","Adat módosítása / Cikk módosítása",""
"passed","Sun Apr 16 23:25:01 GMT 2023","Sun Apr 16 23:25:19 GMT 2023","17613","Tests.Automata teszt","test_conduit","TestConduit","","","Adatok listázása / Lista oldal cikkeinek kilistázása",""
"passed","Sun Apr 16 23:24:52 GMT 2023","Sun Apr 16 23:24:54 GMT 2023","2466","Tests.Automata teszt","test_conduit","TestConduit","","","Kijelentkezés",""
"passed","Sun Apr 16 23:26:32 GMT 2023","Sun Apr 16 23:26:53 GMT 2023","21040","Tests.Automata teszt","test_conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból/Cikkek feltöltése csv-ből",""
