"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 12:48:20 GMT 2023","Fri Apr 14 12:48:20 GMT 2023","188","Tests.Automata teszt","test_conduit","TestConduit","","","test_cookie_handling",""
"passed","Fri Apr 14 12:48:23 GMT 2023","Fri Apr 14 12:48:29 GMT 2023","6091","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_listing",""
"broken","Fri Apr 14 12:51:14 GMT 2023","Fri Apr 14 12:51:15 GMT 2023","826","Tests.Automata teszt","test_conduit","TestConduit","","","test_more_articles_uploads",""
"passed","Fri Apr 14 12:48:12 GMT 2023","Fri Apr 14 12:48:13 GMT 2023","826","Tests.Automata teszt","test_conduit","TestConduit","","","test_signin",""
"passed","Fri Apr 14 12:48:06 GMT 2023","Fri Apr 14 12:48:09 GMT 2023","2572","Tests.Automata teszt","test_conduit","TestConduit","","","test_signup",""
"passed","Fri Apr 14 12:48:16 GMT 2023","Fri Apr 14 12:48:17 GMT 2023","899","Tests.Automata teszt","test_conduit","TestConduit","","","test_logout",""
"passed","Fri Apr 14 12:48:53 GMT 2023","Fri Apr 14 12:49:59 GMT 2023","66268","Tests.Automata teszt","test_conduit","TestConduit","","","test_modify_data",""
"broken","Fri Apr 14 12:50:03 GMT 2023","Fri Apr 14 12:51:11 GMT 2023","68087","Tests.Automata teszt","test_conduit","TestConduit","","","test_delete_data",""
"passed","Fri Apr 14 12:48:32 GMT 2023","Fri Apr 14 12:48:44 GMT 2023","11426","Tests.Automata teszt","test_conduit","TestConduit","","","test_multi_page_listing",""
"passed","Fri Apr 14 12:48:47 GMT 2023","Fri Apr 14 12:48:50 GMT 2023","3072","Tests.Automata teszt","test_conduit","TestConduit","","","test_new_data_upload",""
