"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 16 17:26:08 GMT 2023","Sun Apr 16 17:26:18 GMT 2023","10020","Tests.Automata teszt","test_conduit","TestConduit","","","test_delete_data",""
"passed","Sun Apr 16 17:25:53 GMT 2023","Sun Apr 16 17:25:57 GMT 2023","4376","Tests.Automata teszt","test_conduit","TestConduit","","","test_new_data_upload",""
"passed","Sun Apr 16 17:25:14 GMT 2023","Sun Apr 16 17:25:31 GMT 2023","17296","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_listing",""
"passed","Sun Apr 16 17:25:12 GMT 2023","Sun Apr 16 17:25:13 GMT 2023","690","Tests.Automata teszt","test_conduit","TestConduit","","","test_cookie_handling",""
"passed","Sun Apr 16 17:25:00 GMT 2023","Sun Apr 16 17:25:03 GMT 2023","2743","Tests.Automata teszt","test_conduit","TestConduit","","","test_signup",""
"broken","Sun Apr 16 17:25:32 GMT 2023","Sun Apr 16 17:25:52 GMT 2023","19394","Tests.Automata teszt","test_conduit","TestConduit","","","test_multi_page_listing",""
"broken","Sun Apr 16 17:26:19 GMT 2023","Sun Apr 16 17:26:36 GMT 2023","16803","Tests.Automata teszt","test_conduit","TestConduit","","","test_more_articles_uploads",""
"passed","Sun Apr 16 17:26:37 GMT 2023","Sun Apr 16 17:26:55 GMT 2023","17317","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_download",""
"passed","Sun Apr 16 17:25:59 GMT 2023","Sun Apr 16 17:26:07 GMT 2023","8270","Tests.Automata teszt","test_conduit","TestConduit","","","test_modify_data",""
"passed","Sun Apr 16 17:25:04 GMT 2023","Sun Apr 16 17:25:07 GMT 2023","2491","Tests.Automata teszt","test_conduit","TestConduit","","","test_signin",""
"passed","Sun Apr 16 17:25:08 GMT 2023","Sun Apr 16 17:25:11 GMT 2023","2566","Tests.Automata teszt","test_conduit","TestConduit","","","test_logout",""
