"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 16 13:49:26 GMT 2023","Sun Apr 16 13:49:44 GMT 2023","18182","Tests.Automata teszt","test_conduit","TestConduit","","","test_multi_page_listing",""
"passed","Sun Apr 16 13:49:06 GMT 2023","Sun Apr 16 13:49:07 GMT 2023","663","Tests.Automata teszt","test_conduit","TestConduit","","","test_cookie_handling",""
"passed","Sun Apr 16 13:50:09 GMT 2023","Sun Apr 16 13:50:26 GMT 2023","16987","Tests.Automata teszt","test_conduit","TestConduit","","","test_more_articles_uploads",""
"passed","Sun Apr 16 13:48:55 GMT 2023","Sun Apr 16 13:48:58 GMT 2023","2452","Tests.Automata teszt","test_conduit","TestConduit","","","test_signup",""
"broken","Sun Apr 16 13:49:59 GMT 2023","Sun Apr 16 13:50:08 GMT 2023","8241","Tests.Automata teszt","test_conduit","TestConduit","","","test_delete_data",""
"passed","Sun Apr 16 13:49:02 GMT 2023","Sun Apr 16 13:49:05 GMT 2023","2423","Tests.Automata teszt","test_conduit","TestConduit","","","test_logout",""
"passed","Sun Apr 16 13:48:59 GMT 2023","Sun Apr 16 13:49:01 GMT 2023","2402","Tests.Automata teszt","test_conduit","TestConduit","","","test_signin",""
"failed","Sun Apr 16 13:50:27 GMT 2023","Sun Apr 16 13:50:44 GMT 2023","17164","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_download",""
"passed","Sun Apr 16 13:49:08 GMT 2023","Sun Apr 16 13:49:25 GMT 2023","17198","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_listing",""
"passed","Sun Apr 16 13:49:45 GMT 2023","Sun Apr 16 13:49:50 GMT 2023","4479","Tests.Automata teszt","test_conduit","TestConduit","","","test_new_data_upload",""
"passed","Sun Apr 16 13:49:51 GMT 2023","Sun Apr 16 13:49:58 GMT 2023","7589","Tests.Automata teszt","test_conduit","TestConduit","","","test_modify_data",""
