"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 22:55:20 GMT 2023","Fri Apr 14 22:55:20 GMT 2023","793","Tests.Automata teszt","test_conduit","TestConduit","","","test_signin",""
"passed","Fri Apr 14 22:55:14 GMT 2023","Fri Apr 14 22:55:16 GMT 2023","2450","Tests.Automata teszt","test_conduit","TestConduit","","","test_signup",""
"broken","Fri Apr 14 22:57:10 GMT 2023","Fri Apr 14 22:58:18 GMT 2023","68150","Tests.Automata teszt","test_conduit","TestConduit","","","test_delete_data",""
"passed","Fri Apr 14 22:56:00 GMT 2023","Fri Apr 14 22:57:06 GMT 2023","65993","Tests.Automata teszt","test_conduit","TestConduit","","","test_modify_data",""
"passed","Fri Apr 14 22:58:21 GMT 2023","Fri Apr 14 22:59:34 GMT 2023","73445","Tests.Automata teszt","test_conduit","TestConduit","","","test_more_articles_uploads",""
"passed","Fri Apr 14 22:55:23 GMT 2023","Fri Apr 14 22:55:24 GMT 2023","891","Tests.Automata teszt","test_conduit","TestConduit","","","test_logout",""
"passed","Fri Apr 14 22:55:55 GMT 2023","Fri Apr 14 22:55:57 GMT 2023","2583","Tests.Automata teszt","test_conduit","TestConduit","","","test_new_data_upload",""
"passed","Fri Apr 14 22:55:31 GMT 2023","Fri Apr 14 22:55:37 GMT 2023","6049","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_listing",""
"passed","Fri Apr 14 22:55:28 GMT 2023","Fri Apr 14 22:55:28 GMT 2023","666","Tests.Automata teszt","test_conduit","TestConduit","","","test_cookie_handling",""
"passed","Fri Apr 14 22:55:41 GMT 2023","Fri Apr 14 22:55:51 GMT 2023","10884","Tests.Automata teszt","test_conduit","TestConduit","","","test_multi_page_listing",""
