"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 22:43:21 GMT 2023","Fri Apr 14 22:43:27 GMT 2023","6136","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_listing",""
"broken","Fri Apr 14 22:45:01 GMT 2023","Fri Apr 14 22:46:09 GMT 2023","68095","Tests.Automata teszt","test_conduit","TestConduit","","","test_delete_data",""
"passed","Fri Apr 14 22:46:12 GMT 2023","Fri Apr 14 22:47:28 GMT 2023","75793","Tests.Automata teszt","test_conduit","TestConduit","","","test_more_articles_uploads",""
"passed","Fri Apr 14 22:43:08 GMT 2023","Fri Apr 14 22:43:09 GMT 2023","893","Tests.Automata teszt","test_conduit","TestConduit","","","test_signin",""
"passed","Fri Apr 14 22:43:02 GMT 2023","Fri Apr 14 22:43:05 GMT 2023","2695","Tests.Automata teszt","test_conduit","TestConduit","","","test_signup",""
"passed","Fri Apr 14 22:43:17 GMT 2023","Fri Apr 14 22:43:17 GMT 2023","191","Tests.Automata teszt","test_conduit","TestConduit","","","test_cookie_handling",""
"passed","Fri Apr 14 22:43:51 GMT 2023","Fri Apr 14 22:44:58 GMT 2023","66514","Tests.Automata teszt","test_conduit","TestConduit","","","test_modify_data",""
"passed","Fri Apr 14 22:43:45 GMT 2023","Fri Apr 14 22:43:48 GMT 2023","3320","Tests.Automata teszt","test_conduit","TestConduit","","","test_new_data_upload",""
"passed","Fri Apr 14 22:43:13 GMT 2023","Fri Apr 14 22:43:14 GMT 2023","1420","Tests.Automata teszt","test_conduit","TestConduit","","","test_logout",""
"passed","Fri Apr 14 22:43:30 GMT 2023","Fri Apr 14 22:43:41 GMT 2023","11472","Tests.Automata teszt","test_conduit","TestConduit","","","test_multi_page_listing",""
