"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 16 17:15:01 GMT 2023","Sun Apr 16 17:15:01 GMT 2023","707","Tests.Automata teszt","test_conduit","TestConduit","","","test_cookie_handling",""
"passed","Sun Apr 16 17:14:54 GMT 2023","Sun Apr 16 17:14:56 GMT 2023","2454","Tests.Automata teszt","test_conduit","TestConduit","","","test_signin",""
"passed","Sun Apr 16 17:15:03 GMT 2023","Sun Apr 16 17:15:20 GMT 2023","17171","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_listing",""
"broken","Sun Apr 16 17:15:54 GMT 2023","Sun Apr 16 17:16:04 GMT 2023","9357","Tests.Automata teszt","test_conduit","TestConduit","","","test_delete_data",""
"passed","Sun Apr 16 17:14:57 GMT 2023","Sun Apr 16 17:15:00 GMT 2023","2433","Tests.Automata teszt","test_conduit","TestConduit","","","test_logout",""
"passed","Sun Apr 16 17:16:05 GMT 2023","Sun Apr 16 17:16:24 GMT 2023","19134","Tests.Automata teszt","test_conduit","TestConduit","","","test_more_articles_uploads",""
"passed","Sun Apr 16 17:15:45 GMT 2023","Sun Apr 16 17:15:53 GMT 2023","7619","Tests.Automata teszt","test_conduit","TestConduit","","","test_modify_data",""
"broken","Sun Apr 16 17:15:21 GMT 2023","Sun Apr 16 17:15:39 GMT 2023","18217","Tests.Automata teszt","test_conduit","TestConduit","","","test_multi_page_listing",""
"passed","Sun Apr 16 17:16:25 GMT 2023","Sun Apr 16 17:16:42 GMT 2023","17161","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_download",""
"passed","Sun Apr 16 17:15:40 GMT 2023","Sun Apr 16 17:15:44 GMT 2023","4014","Tests.Automata teszt","test_conduit","TestConduit","","","test_new_data_upload",""
"passed","Sun Apr 16 17:14:49 GMT 2023","Sun Apr 16 17:14:52 GMT 2023","3080","Tests.Automata teszt","test_conduit","TestConduit","","","test_signup",""
