"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 16 13:12:54 GMT 2023","Sun Apr 16 13:12:54 GMT 2023","658","Tests.Automata teszt","test_conduit","TestConduit","","","test_cookie_handling",""
"broken","Sun Apr 16 13:13:27 GMT 2023","Sun Apr 16 13:13:34 GMT 2023","6568","Tests.Automata teszt","test_conduit","TestConduit","","","test_delete_data",""
"broken","Sun Apr 16 13:12:59 GMT 2023","Sun Apr 16 13:13:02 GMT 2023","2521","Tests.Automata teszt","test_conduit","TestConduit","","","test_multi_page_listing",""
"passed","Sun Apr 16 13:12:47 GMT 2023","Sun Apr 16 13:12:49 GMT 2023","2408","Tests.Automata teszt","test_conduit","TestConduit","","","test_signin",""
"passed","Sun Apr 16 13:13:08 GMT 2023","Sun Apr 16 13:13:26 GMT 2023","18360","Tests.Automata teszt","test_conduit","TestConduit","","","test_modify_data",""
"passed","Sun Apr 16 13:12:50 GMT 2023","Sun Apr 16 13:12:53 GMT 2023","2419","Tests.Automata teszt","test_conduit","TestConduit","","","test_logout",""
"passed","Sun Apr 16 13:13:03 GMT 2023","Sun Apr 16 13:13:07 GMT 2023","3996","Tests.Automata teszt","test_conduit","TestConduit","","","test_new_data_upload",""
"broken","Sun Apr 16 13:13:49 GMT 2023","Sun Apr 16 13:13:57 GMT 2023","8550","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_download",""
"broken","Sun Apr 16 13:12:55 GMT 2023","Sun Apr 16 13:12:58 GMT 2023","2500","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_listing",""
"passed","Sun Apr 16 13:12:43 GMT 2023","Sun Apr 16 13:12:46 GMT 2023","2711","Tests.Automata teszt","test_conduit","TestConduit","","","test_signup",""
"broken","Sun Apr 16 13:13:35 GMT 2023","Sun Apr 16 13:13:48 GMT 2023","12777","Tests.Automata teszt","test_conduit","TestConduit","","","test_more_articles_uploads",""
