"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 15 22:13:06 GMT 2023","Sat Apr 15 22:13:06 GMT 2023","649","Tests.Automata teszt","test_conduit","TestConduit","","","test_cookie_handling",""
"broken","Sat Apr 15 22:15:22 GMT 2023","Sat Apr 15 22:15:38 GMT 2023","15495","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_download",""
"passed","Sat Apr 15 22:13:18 GMT 2023","Sat Apr 15 22:13:30 GMT 2023","12612","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_listing",""
"passed","Sat Apr 15 22:12:42 GMT 2023","Sat Apr 15 22:12:43 GMT 2023","760","Tests.Automata teszt","test_conduit","TestConduit","","","test_signin",""
"passed","Sat Apr 15 22:14:07 GMT 2023","Sat Apr 15 22:14:09 GMT 2023","2672","Tests.Automata teszt","test_conduit","TestConduit","","","test_new_data_upload",""
"passed","Sat Apr 15 22:12:28 GMT 2023","Sat Apr 15 22:12:31 GMT 2023","2666","Tests.Automata teszt","test_conduit","TestConduit","","","test_signup",""
"passed","Sat Apr 15 22:12:54 GMT 2023","Sat Apr 15 22:12:55 GMT 2023","842","Tests.Automata teszt","test_conduit","TestConduit","","","test_logout",""
"passed","Sat Apr 15 22:14:20 GMT 2023","Sat Apr 15 22:14:37 GMT 2023","16913","Tests.Automata teszt","test_conduit","TestConduit","","","test_modify_data",""
"broken","Sat Apr 15 22:15:10 GMT 2023","Sat Apr 15 22:15:11 GMT 2023","763","Tests.Automata teszt","test_conduit","TestConduit","","","test_more_articles_uploads",""
"passed","Sat Apr 15 22:14:48 GMT 2023","Sat Apr 15 22:14:59 GMT 2023","10579","Tests.Automata teszt","test_conduit","TestConduit","","","test_delete_data",""
"broken","Sat Apr 15 22:13:41 GMT 2023","Sat Apr 15 22:13:56 GMT 2023","14103","Tests.Automata teszt","test_conduit","TestConduit","","","test_multi_page_listing",""
