"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 16 12:33:36 GMT 2023","Sun Apr 16 12:33:39 GMT 2023","2776","Tests.Automata teszt","test_conduit","TestConduit","","","test_new_data_upload",""
"passed","Sun Apr 16 12:33:20 GMT 2023","Sun Apr 16 12:33:24 GMT 2023","4452","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_listing",""
"passed","Sun Apr 16 12:33:25 GMT 2023","Sun Apr 16 12:33:35 GMT 2023","9592","Tests.Automata teszt","test_conduit","TestConduit","","","test_multi_page_listing",""
"broken","Sun Apr 16 12:33:58 GMT 2023","Sun Apr 16 12:34:03 GMT 2023","5154","Tests.Automata teszt","test_conduit","TestConduit","","","test_delete_data",""
"broken","Sun Apr 16 12:34:04 GMT 2023","Sun Apr 16 12:34:17 GMT 2023","12175","Tests.Automata teszt","test_conduit","TestConduit","","","test_more_articles_uploads",""
"passed","Sun Apr 16 12:33:14 GMT 2023","Sun Apr 16 12:33:15 GMT 2023","762","Tests.Automata teszt","test_conduit","TestConduit","","","test_signin",""
"passed","Sun Apr 16 12:33:18 GMT 2023","Sun Apr 16 12:33:19 GMT 2023","648","Tests.Automata teszt","test_conduit","TestConduit","","","test_cookie_handling",""
"broken","Sun Apr 16 12:34:18 GMT 2023","Sun Apr 16 12:34:28 GMT 2023","10314","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_download",""
"passed","Sun Apr 16 12:33:40 GMT 2023","Sun Apr 16 12:33:57 GMT 2023","17194","Tests.Automata teszt","test_conduit","TestConduit","","","test_modify_data",""
"passed","Sun Apr 16 12:33:16 GMT 2023","Sun Apr 16 12:33:17 GMT 2023","845","Tests.Automata teszt","test_conduit","TestConduit","","","test_logout",""
"passed","Sun Apr 16 12:33:09 GMT 2023","Sun Apr 16 12:33:13 GMT 2023","4376","Tests.Automata teszt","test_conduit","TestConduit","","","test_signup",""
