"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Apr 14 12:45:26 GMT 2023","Fri Apr 14 12:45:27 GMT 2023","834","Tests.Automata teszt","test_conduit","TestConduit","","","test_more_articles_uploads",""
"broken","Fri Apr 14 12:44:14 GMT 2023","Fri Apr 14 12:45:23 GMT 2023","68256","Tests.Automata teszt","test_conduit","TestConduit","","","test_delete_data",""
"passed","Fri Apr 14 12:43:24 GMT 2023","Fri Apr 14 12:43:27 GMT 2023","3450","Tests.Automata teszt","test_conduit","TestConduit","","","test_signup",""
"broken","Fri Apr 14 12:44:10 GMT 2023","Fri Apr 14 12:44:11 GMT 2023","848","Tests.Automata teszt","test_conduit","TestConduit","","","test_modify_data",""
"passed","Fri Apr 14 12:43:34 GMT 2023","Fri Apr 14 12:43:35 GMT 2023","996","Tests.Automata teszt","test_conduit","TestConduit","","","test_logout",""
"broken","Fri Apr 14 12:44:06 GMT 2023","Fri Apr 14 12:44:07 GMT 2023","821","Tests.Automata teszt","test_conduit","TestConduit","","","test_new_data_upload",""
"passed","Fri Apr 14 12:43:52 GMT 2023","Fri Apr 14 12:44:03 GMT 2023","11522","Tests.Automata teszt","test_conduit","TestConduit","","","test_multi_page_listing",""
"passed","Fri Apr 14 12:43:30 GMT 2023","Fri Apr 14 12:43:31 GMT 2023","892","Tests.Automata teszt","test_conduit","TestConduit","","","test_signin",""
"passed","Fri Apr 14 12:43:42 GMT 2023","Fri Apr 14 12:43:49 GMT 2023","6116","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_listing",""
"passed","Fri Apr 14 12:43:39 GMT 2023","Fri Apr 14 12:43:39 GMT 2023","697","Tests.Automata teszt","test_conduit","TestConduit","","","test_cookie_handling",""
