"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 16 13:00:54 GMT 2023","Sun Apr 16 13:00:57 GMT 2023","2428","Tests.Automata teszt","test_conduit","TestConduit","","","test_signup",""
"passed","Sun Apr 16 13:01:05 GMT 2023","Sun Apr 16 13:01:05 GMT 2023","653","Tests.Automata teszt","test_conduit","TestConduit","","","test_cookie_handling",""
"passed","Sun Apr 16 13:01:01 GMT 2023","Sun Apr 16 13:01:04 GMT 2023","2439","Tests.Automata teszt","test_conduit","TestConduit","","","test_logout",""
"passed","Sun Apr 16 13:01:20 GMT 2023","Sun Apr 16 13:01:38 GMT 2023","18649","Tests.Automata teszt","test_conduit","TestConduit","","","test_modify_data",""
"passed","Sun Apr 16 13:01:39 GMT 2023","Sun Apr 16 13:01:52 GMT 2023","12365","Tests.Automata teszt","test_conduit","TestConduit","","","test_delete_data",""
"broken","Sun Apr 16 13:02:02 GMT 2023","Sun Apr 16 13:02:15 GMT 2023","12443","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_download",""
"passed","Sun Apr 16 13:01:14 GMT 2023","Sun Apr 16 13:01:19 GMT 2023","4452","Tests.Automata teszt","test_conduit","TestConduit","","","test_new_data_upload",""
"passed","Sun Apr 16 13:00:58 GMT 2023","Sun Apr 16 13:01:00 GMT 2023","2380","Tests.Automata teszt","test_conduit","TestConduit","","","test_signin",""
"broken","Sun Apr 16 13:01:53 GMT 2023","Sun Apr 16 13:02:01 GMT 2023","8540","Tests.Automata teszt","test_conduit","TestConduit","","","test_more_articles_uploads",""
"broken","Sun Apr 16 13:01:10 GMT 2023","Sun Apr 16 13:01:13 GMT 2023","3083","Tests.Automata teszt","test_conduit","TestConduit","","","test_multi_page_listing",""
"broken","Sun Apr 16 13:01:06 GMT 2023","Sun Apr 16 13:01:09 GMT 2023","2493","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_listing",""
