"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 16 20:18:12 GMT 2023","Sun Apr 16 20:18:15 GMT 2023","2561","Tests.Automata teszt","test_conduit","TestConduit","","","test_signup",""
"passed","Sun Apr 16 20:18:25 GMT 2023","Sun Apr 16 20:18:43 GMT 2023","17651","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_listing",""
"passed","Sun Apr 16 20:18:44 GMT 2023","Sun Apr 16 20:18:51 GMT 2023","7632","Tests.Automata teszt","test_conduit","TestConduit","","","test_multi_page_listing",""
"passed","Sun Apr 16 20:19:36 GMT 2023","Sun Apr 16 20:19:53 GMT 2023","17631","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_download",""
"broken","Sun Apr 16 20:19:13 GMT 2023","Sun Apr 16 20:19:34 GMT 2023","21046","Tests.Automata teszt","test_conduit","TestConduit","","","test_more_articles_uploads",""
"passed","Sun Apr 16 20:18:20 GMT 2023","Sun Apr 16 20:18:22 GMT 2023","2500","Tests.Automata teszt","test_conduit","TestConduit","","","test_logout",""
"broken","Sun Apr 16 20:19:03 GMT 2023","Sun Apr 16 20:19:12 GMT 2023","8755","Tests.Automata teszt","test_conduit","TestConduit","","","test_delete_data",""
"passed","Sun Apr 16 20:18:52 GMT 2023","Sun Apr 16 20:18:57 GMT 2023","4322","Tests.Automata teszt","test_conduit","TestConduit","","","test_new_data_upload",""
"passed","Sun Apr 16 20:18:16 GMT 2023","Sun Apr 16 20:18:19 GMT 2023","2493","Tests.Automata teszt","test_conduit","TestConduit","","","test_signin",""
"broken","Sun Apr 16 20:18:58 GMT 2023","Sun Apr 16 20:19:02 GMT 2023","3839","Tests.Automata teszt","test_conduit","TestConduit","","","test_modify_data",""
"passed","Sun Apr 16 20:18:24 GMT 2023","Sun Apr 16 20:18:24 GMT 2023","168","Tests.Automata teszt","test_conduit","TestConduit","","","test_cookie_handling",""
