"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 11 11:26:03 GMT 2023","Tue Apr 11 11:26:05 GMT 2023","1518","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_listing",""
"passed","Tue Apr 11 11:25:52 GMT 2023","Tue Apr 11 11:25:52 GMT 2023","201","Tests.Automata teszt","test_conduit","TestConduit","","","test_cookie_handling",""
"broken","Tue Apr 11 11:26:16 GMT 2023","Tue Apr 11 11:26:23 GMT 2023","6658","Tests.Automata teszt","test_conduit","TestConduit","","","test_multi_page_listing",""
"passed","Tue Apr 11 11:25:34 GMT 2023","Tue Apr 11 11:25:40 GMT 2023","6010","Tests.Automata teszt","test_conduit","TestConduit","","","test_logout",""
"failed","Tue Apr 11 11:25:07 GMT 2023","Tue Apr 11 11:25:11 GMT 2023","3104","Tests.Automata teszt","test_conduit","TestConduit","","","test_signup",""
"broken","Tue Apr 11 11:26:54 GMT 2023","Tue Apr 11 11:28:03 GMT 2023","68545","Tests.Automata teszt","test_conduit","TestConduit","","","test_modify_data",""
"passed","Tue Apr 11 11:26:34 GMT 2023","Tue Apr 11 11:26:43 GMT 2023","8303","Tests.Automata teszt","test_conduit","TestConduit","","","test_new_data_upload",""
"broken","Tue Apr 11 11:28:14 GMT 2023","Tue Apr 11 11:29:23 GMT 2023","68524","Tests.Automata teszt","test_conduit","TestConduit","","","test_delete_data",""
"passed","Tue Apr 11 11:25:22 GMT 2023","Tue Apr 11 11:25:23 GMT 2023","895","Tests.Automata teszt","test_conduit","TestConduit","","","test_signin",""
